,inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime,check,diff,diffNum,date
0,150201.IB,3.5,indic/guess,43102.5733217593,3.4025,3.3000000004000003,Wide,43102.61031875,3.3,indic/guess,43102.7205497569,3.4,estimated,43102.61031875,3.92,0.1,1/2/2018 3:46:24 PM,3.3,0.1,43102.7205497569,43102.7206076968,-,-,0.1,-,-,0.1,60,43102.7206076968,-,-,0,-,43103.1287241782,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,1/2/2018 5:17:40 PM,-,-,-,1/2/2018 5:17:40 PM,-,-,-,-,False,0.610318749997532,0.610318749997532,43102
121,150201.IB,5.8,indic/guess,43098.4210300926,5.7975,5.742857142857139,Wide,43098.408842592595,5.6,real,43098.4293178125,5.8,estimated,43098.408842592595,5.8,20000000.0,12/29/2017 10:06:17 AM,5.6,10000000.0,43098.4293178125,43098.4293178125,-,-,0.1,5.6,-,10000000.0,60,43098.4293178125,-,-,0,-,43102.1309012732,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,12/29/2017 10:18:13 AM,-,-,-,12/29/2017 10:18:13 AM,-,-,-,-,False,0.40884259259473765,0.40884259259473765,43098
186,150201.IB,5.6,indic/guess,43097.470717592594,5.5975,5.55833333333333,Wide,43097.4327223727,5.5,indic/guess,43097.4692824074,5.6,estimated,43096.6141703588,5.6,50000000.0,12/28/2017 11:17:50 AM,4.0,70000000.0,43097.4705439815,43097.479409722204,-,-,0.1,-,-,0.1,60,43097.479409722204,-,-,0,-,43102.01813375,Quote withdrawn,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,12/28/2017 11:30:21 AM,-,-,-,12/28/2017 11:30:21 AM,-,-,-,-,False,0.4327223727013916,0.4327223727013916,43097
203,150201.IB,5.65,indic/old,43097.429293634304,5.6025,5.6499999997857095,Wide,43096.6141703588,5.5,real,43097.430162037,5.6,estimated,43096.6141703588,5.65,0.1,12/28/2017 10:18:10 AM,5.5,70000000.0,43097.430162037,43097.430162037,-,-,0.1,5.5,-,70000000.0,60,43097.430162037,-,-,0,-,43102.0181366088,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,12/28/2017 10:19:26 AM,-,-,-,12/28/2017 10:19:26 AM,-,-,-,-,False,0.6141703588000382,0.6141703588000382,43096
314,150213.IB,3.72,indic/old,43328.6320949074,3.6525,3.67,Wide,43328.612349537005,3.65,indic/old,43332.440405092595,3.65,estimated,43328.612349537005,3.79,3000.0,8/20/2018 9:40:36 AM,3.65,5000.0,43332.440405092595,43332.4528399306,-,-,0.1,-,-,0.1,60,43332.4528399306,-,-,0,-,43332.4528777546,"Ignored/ask,bid,",cfets,-,PRICE,150213.IB_PKBond,8/21/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/20/2018 10:52:05 AM,-,-,-,8/20/2018 10:52:05 AM,-,-,-,-,False,0.6123495370047749,0.6123495370047749,43328
37,150216.IB,3.905,indic/old,43329.4096050116,3.9025,3.9049990001999597,average,43334.4055526968,3.9,real,43334.4051815625,3.9,estimated,43329.4096050116,4.2600000584696005,50000000.0,8/22/2018 9:25:14 AM,3.83,5000.0,43334.4055526968,43334.4055526968,-,-,0.1,3.83,-,5000.0,60,43334.4055526968,-,-,0,-,43334.4055553472,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/22/2018 9:43:59 AM,-,-,-,8/22/2018 9:43:59 AM,-,-,-,-,False,0.4055526968004415,0.4055526968004415,43334
93,150216.IB,3.905,indic/old,43329.4096050116,3.9025,3.9049990001999597,Tight,43332.4131481481,3.9,indic/old,43329.4139958796,3.9,estimated,43329.4096050116,4.1600036782920595,50000000.0,8/20/2018 9:54:56 AM,3.6938872577563195,30000000.0,43332.4131481481,43332.4131481481,4.16000367829206,99.2174,50000000.0,3.69388725775632,100.8685,30000000.0,60,43332.4131481481,-,-,0,-,43332.4131787963,TwoSide,cfets,-,PRICE,150216.IB_PKBond,8/21/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/20/2018 9:54:56 AM,-,-,-,8/20/2018 9:54:56 AM,-,-,-,-,False,0.4131481481017545,0.4131481481017545,43332
101,150216.IB,3.905,indic/old,43329.4096050116,3.9025,3.9049990001999597,average,43329.4139958796,3.9,indic/old,43329.4139958796,3.9,estimated,43329.4096050116,4.08000613717172,50000000.0,8/17/2018 9:21:16 AM,3.9,5000.0,43329.4139958796,43329.4139958796,-,-,0.1,-,-,0.1,60,43329.4139958796,-,-,0,-,43329.7918567824,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/17/2018 9:56:09 AM,-,-,-,8/17/2018 9:56:09 AM,-,-,-,-,False,0.4139958796004066,0.4139958796004066,43329
63,150217.IB,1.905,indic/old,43329.479547905095,1.9025,1.90166666666667,average,43332.406875,1.9,indic/old,43332.3904558218,1.9,real,43332.3904558218,2.4,5000.0,8/20/2018 9:45:54 AM,1.9,5000.0,43332.3904558218,43332.406875,2.4,-,5000.0,-,-,0.1,60,43332.406875,-,-,0,-,43332.4068785185,BidOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/20/2018 9:45:54 AM,-,-,-,8/20/2018 9:45:54 AM,-,-,-,-,False,0.4068750000005821,0.4068750000005821,43332
91,150217.IB,1.905,indic/old,43329.479547905095,1.9025,1.90499900019996,average,43329.6137615741,1.9,indic/old,43329.6124936227,1.9,real,43329.6123756944,1.95,5000.0,8/17/2018 2:41:23 PM,1.8,1000.0,43329.6137615741,43329.6137615741,-,-,0.1,-,-,0.1,60,43329.6137615741,-,-,0,-,43329.7917182755,Quote withdrawn,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/17/2018 2:43:49 PM,-,-,-,8/17/2018 2:43:49 PM,-,-,-,-,False,0.6137615741026821,0.6137615741026821,43329
