Date,Shibor_3M
43202,4.199
43201,4.209
43200,4.229
43199,4.2579
43198,4.2781
43194,4.3101
43193,4.3506
43192,4.4052
43189,4.4615
43188,4.5247
43187,4.6174
43186,4.6239
43185,4.6351
43182,4.6489
43181,4.6621
43180,4.6751
43179,4.685
43178,4.704
43175,4.712
43174,4.7139
43173,4.719
43172,4.725
43171,4.735
43168,4.741
43167,4.7407
43166,4.7364
43165,4.7332
43164,4.722
43161,4.7191
43160,4.7154
43159,4.7131
43158,4.7103
43157,4.7128
43155,4.7078
43154,4.7076
43153,4.7054
43145,4.7031
43144,4.7006
43143,4.696
43142,4.6974
43140,4.6936
43139,4.696
43138,4.707
43137,4.7206
43136,4.7258
43133,4.7278
43132,4.7276
43131,4.7257
43130,4.7267
43129,4.727
43126,4.7292
43125,4.7317
43124,4.7267
43123,4.7163
43122,4.7122
43119,4.7115
43118,4.7044
43117,4.6935
43116,4.6843
43115,4.683
43112,4.6791
43111,4.6701
43110,4.6607
43109,4.657
43108,4.6594
43105,4.6637
43104,4.687
43103,4.73
43102,4.804
43098,4.9133
43097,4.9123
43096,4.9129
43095,4.909
43094,4.9092
43091,4.8908
43090,4.8676
43089,4.8559
43088,4.8385
43087,4.8348
43084,4.8175
43083,4.8144
43082,4.8039
43081,4.799
43080,4.7992
43077,4.7918
43076,4.7873
43075,4.783
43074,4.7901
43073,4.7804
43070,4.7639
43069,4.7594
43068,4.7438
43067,4.728
43066,4.7103
43063,4.6722
43062,4.6518
43061,4.6375
43060,4.6243
43059,4.6222
43056,4.6016
43055,4.5656
43054,4.5455
43053,4.5346
43052,4.5155
43049,4.4747
43048,4.4568
43047,4.4377
43046,4.4314
43045,4.4294
43042,4.4217
43041,4.4099
43040,4.408
43039,4.3954
43038,4.3926
43035,4.3901
43034,4.3845
43033,4.383
43032,4.3803
43031,4.3793
43028,4.3758
43027,4.3737
43026,4.3729
43025,4.3711
43024,4.3668
43021,4.3599
43020,4.3581
43019,4.3555
43018,4.3541
43017,4.3502
43008,4.3565
43007,4.3561
43006,4.356
43005,4.3565
43004,4.3558
43003,4.3578
43000,4.3611
42999,4.3675
42998,4.367
42997,4.3638
42996,4.3643
42993,4.3647
42992,4.3675
42991,4.3711
42990,4.3768
42989,4.4034
42986,4.4281
42985,4.4348
42984,4.4271
42983,4.4173
42982,4.4023
42979,4.3741
42978,4.3728
42977,4.3867
42976,4.3765
42975,4.374
42972,4.3689
42971,4.3619
42970,4.3571
42969,4.3505
42968,4.3464
42965,4.344
42964,4.3417
42963,4.3363
42962,4.3268
42961,4.3148
42958,4.2979
42957,4.2867
42956,4.2818
42955,4.2735
42954,4.2733
42951,4.2724
42950,4.2704
42949,4.2681
42948,4.2631
42947,4.2561
42944,4.2514
42943,4.25
42942,4.251
42941,4.254
42940,4.255
42937,4.255
42936,4.2551
42935,4.26
42934,4.2666
42933,4.2706
42930,4.281
42929,4.29
42928,4.3088
42927,4.3212
42926,4.3421
42923,4.3607
42922,4.3876
42921,4.4285
42920,4.4606
42919,4.4857
42916,4.5009
42915,4.5211
42914,4.5522
42913,4.5833
42912,4.6125
42909,4.63
42908,4.6521
42907,4.688
42906,4.7141
42905,4.747
42902,4.7613
42901,4.7723
42900,4.7827
42899,4.7827
42898,4.7763
42895,4.7555
42894,4.7306
42893,4.6988
42892,4.6577
42891,4.6225
42888,4.6012
42887,4.5779
42886,4.5641
42882,4.5528
42881,4.5424
42880,4.5338
42879,4.5177
42878,4.4956
42877,4.4744
42874,4.4641
42873,4.4439
42872,4.4349
42871,4.4278
42870,4.4184
42867,4.4088
42866,4.4083
42865,4.3933
42864,4.3848
42863,4.3731
42860,4.3608
42859,4.3476
42858,4.3309
42857,4.3002
42853,4.2974
42852,4.2917
42851,4.2884
42850,4.2839
42849,4.2789
42846,4.2781
42845,4.2725
42844,4.2661
42843,4.2621
42842,4.2609
42839,4.2634
42838,4.2631
42837,4.2653
42836,4.2774
42835,4.2906
42832,4.301
42831,4.3183
42830,4.3355
42826,4.3642
42825,4.393
42824,4.3995
42823,4.4135
42822,4.423
42821,4.4364
42818,4.4516
42817,4.4396
42816,4.4077
42815,4.3846
42814,4.3711
42811,4.3507
42810,4.3267
42809,4.2933
42808,4.2925
42807,4.2925
42804,4.2942
42803,4.2943
42802,4.2932
42801,4.2918
42800,4.2925
42797,4.2905
42796,4.2904
42795,4.2881
42794,4.2841
42793,4.2804
42790,4.2829
42789,4.284
42788,4.2778
42787,4.2704
42786,4.2622
42783,4.2567
42782,4.2518
42781,4.2394
42780,4.2148
42779,4.2029
42776,4.1727
42775,4.144
42774,4.1094
42773,4.016
42772,3.9497
42770,3.9348
42769,3.9175
42761,3.8706
42760,3.8551
42759,3.8401
42758,3.8401
42757,3.8301
42755,3.8213
42754,3.803
42753,3.7491
42752,3.7222
42751,3.7018
42748,3.6874
42747,3.6536
42746,3.5853
42745,3.5526
42744,3.5152
42741,3.4388
42740,3.3384
42739,3.2912
42738,3.2813
42734,3.2726
42733,3.2651
42732,3.2592
42731,3.2512
42730,3.2414
42727,3.2337
42726,3.2267
42725,3.2164
42724,3.204
42723,3.1898
42720,3.1774
42719,3.1635
42718,3.1568
42717,3.1498
42716,3.1377
42713,3.1265
42712,3.1144
42711,3.1134
42710,3.1039
42709,3.0889
42706,3.0686
42705,3.0556
42704,3.0358
42703,3.0172
42702,3.0113
42699,3.0026
42698,2.9956
42697,2.9857
42696,2.9765
42695,2.9701
42692,2.9505
42691,2.9325
42690,2.9125
42689,2.8955
42688,2.8846
42685,2.8751
42684,2.8701
42683,2.8655
42682,2.8648
42681,2.8576
42678,2.8458
42677,2.838
42676,2.8296
42675,2.8254
42674,2.8233
42671,2.8221
42670,2.8207
42669,2.8164
42668,2.814
42667,2.813
42664,2.8096
42663,2.8054
42662,2.804
42661,2.804
42660,2.804
42657,2.8025
42656,2.8025
42655,2.8015
42654,2.8015
42653,2.8015
42652,2.8015
42651,2.8015
42643,2.8015
42642,2.8015
42641,2.8015
42640,2.8025
42639,2.804
42636,2.804
42635,2.803
42634,2.8009
42633,2.799
42632,2.796
42631,2.7919
42627,2.7885
42626,2.785
42625,2.7849
42622,2.7831
42621,2.781
42620,2.781
42619,2.7845
42618,2.786
42615,2.788
42614,2.791
42613,2.794
42612,2.795
42611,2.795
42608,2.796
42607,2.795
42606,2.794
42605,2.793
42604,2.7944
42601,2.793
42600,2.794
42599,2.796
42598,2.7995
42597,2.8028
42594,2.8045
42593,2.805
42592,2.8085
42591,2.8105
42590,2.815
42587,2.8185
42586,2.822
42585,2.8335
42584,2.839
42583,2.844
42580,2.846
42579,2.8465
42578,2.849
42577,2.851
42576,2.854
42573,2.856
42572,2.8575
42571,2.8615
42570,2.865
42569,2.87
42566,2.877
42565,2.888
42564,2.907
42563,2.924
42562,2.931
42559,2.936
42558,2.9455
42557,2.953
42556,2.9605
42555,2.9672
42552,2.9661
42551,2.9659
42550,2.9639
42549,2.9638
42548,2.9618
42545,2.9626
42544,2.9605
42543,2.9593
42542,2.9573
42541,2.9572
42538,2.9568
42537,2.9523
42536,2.9521
42535,2.9508
42534,2.9476
42533,2.946
42529,2.946
42528,2.946
42527,2.946
42524,2.947
42523,2.946
42522,2.946
42521,2.946
42520,2.9455
42517,2.942
42516,2.941
42515,2.9385
42514,2.933
42513,2.93
42510,2.9288
42509,2.9273
42508,2.9227
42507,2.9158
42506,2.9075
42503,2.9035
42502,2.8955
42501,2.894
42500,2.892
42499,2.892
42496,2.894
42495,2.896
42494,2.899
42493,2.9044
42489,2.908
42488,2.8925
42487,2.883
42486,2.8775
42485,2.8735
42482,2.868
42481,2.861
42480,2.851
42479,2.85
42478,2.848
42475,2.848
42474,2.8487
42473,2.8485
42472,2.847
42471,2.8485
42468,2.8455
42467,2.847
42466,2.845
42465,2.846
42461,2.8385
42460,2.8248
42459,2.8115
42458,2.8002
42457,2.797
42454,2.797
42453,2.799
42452,2.798
42451,2.797
42450,2.795
42447,2.793
42446,2.791
42445,2.793
42444,2.793
42443,2.793
42440,2.799
42439,2.804
42438,2.807
42437,2.814
42436,2.823
42433,2.832
42432,2.84
42431,2.857
42430,2.8835
42429,2.899
42426,2.899
42425,2.899
42424,2.901
42423,2.927
42422,2.947
42419,2.967
42418,3.004
42417,3.014
42416,3.029
42415,3.041
42414,3.0495
42406,3.058
42405,3.06
42404,3.061
42403,3.071
42402,3.081
42401,3.082
42398,3.103
42397,3.107
42396,3.104
42395,3.073
42394,3.0415
42391,3.031
42390,2.986
42389,2.9705
42388,2.976
42387,2.985
42384,3.008
42383,3.027
42382,3.041
42381,3.053
42380,3.0585
42377,3.067
42376,3.0746
42375,3.082
42374,3.086
42373,3.086
42369,3.0852
42368,3.0882
42367,3.0882
42366,3.0878
42363,3.0825
42362,3.0774
42361,3.0735
42360,3.0611
42359,3.0551
42356,3.0501
42355,3.0481
42354,3.0475
42353,3.051
42352,3.0461
42349,3.051
42348,3.046
42347,3.047
42346,3.051
42345,3.048
42342,3.043
42341,3.043
42340,3.042
42339,3.047
42338,3.05
42335,3.05
42334,3.05
42333,3.05
42332,3.05
42331,3.046
42328,3.044
42327,3.044
42326,3.0441
42325,3.04
42324,3.038
42321,3.034
42320,3.034
42319,3.034
42318,3.034
42317,3.033
42314,3.0355
42313,3.0405
42312,3.0415
42311,3.0425
42310,3.042
42307,3.036
42306,3.036
42305,3.038
42304,3.047
42303,3.084
42300,3.144
42299,3.157
42298,3.169
42297,3.175
42296,3.1783
42293,3.1826
42292,3.1846
42291,3.186
42290,3.1825
42289,3.173
42287,3.1656
42286,3.1585
42285,3.1515
42277,3.153
42276,3.153
42275,3.152
42272,3.153
42271,3.1518
42270,3.1468
42269,3.1448
42268,3.141
42265,3.1355
42264,3.1268
42263,3.116
42262,3.113
42261,3.106
42258,3.097
42257,3.093
42256,3.092
42255,3.095
42254,3.099
42253,3.104
42249,3.1026
42248,3.1026
42247,3.1
42244,3.098
42243,3.096
42242,3.0975
42241,3.091
42240,3.09
42237,3.09
42236,3.093
42235,3.094
42234,3.093
42233,3.091
42230,3.097
42229,3.101
42228,3.1125
42227,3.118
42226,3.1223
42223,3.127
42222,3.137
42221,3.143
42220,3.15
42219,3.153
42216,3.1575
42215,3.1605
42214,3.1635
42213,3.1638
42212,3.1645
42209,3.1635
42208,3.16
42207,3.1563
42206,3.1512
42205,3.1505
42202,3.152
42201,3.155
42200,3.1598
42199,3.1642
42198,3.1709
42195,3.177
42194,3.182
42193,3.186
42192,3.192
42191,3.203
42188,3.202
42187,3.212
42186,3.213
42185,3.233
42184,3.248
42181,3.277
42180,3.25
42179,3.211
42178,3.173
42174,3.105
42173,3.054
42172,2.999
42171,2.981
42170,2.96
42167,2.921
42166,2.909
42165,2.902
42164,2.902
42163,2.887
42160,2.885
42159,2.8825
42158,2.871
42157,2.862
42156,2.8565
42153,2.864
42152,2.865
42151,2.869
42150,2.881
42149,2.903
42146,2.959
42145,3.014
42144,3.071
42143,3.156
42142,3.2
42139,3.323
42138,3.482
42137,3.634
42136,3.681
42135,3.735
42132,3.7985
42131,3.823
42130,3.846
42129,3.8815
42128,3.923
42124,3.97
42123,4.035
42122,4.08
42121,4.161
42118,4.2641
42117,4.3431
42116,4.4161
42115,4.4845
42114,4.6133
42111,4.703
42110,4.72
42109,4.7365
42108,4.7535
42107,4.7667
