inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
160207.IB,4.04,indic/old,43341.5562463889,4.035,4.03999750062484,Tight,43341.6250347222,4.03,indic/old,43341.6250347222,4.04,real,43341.5562463889,4.06,2000,8/29/2018 3:00:03 PM,4.03,2000,43341.6250347222,43341.6744328704,-,-,0.1,-,-,0.1,60,43341.6744328704,-,-,0,-,43341.6745498032,"Ignored/ask,bid,",cfets,-,PRICE,160207.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 4:11:11 PM,-,-,-,8/29/2018 4:11:11 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.035,4.03999750062484,Tight,43341.6250347222,4.03,real,43341.6250347222,4.04,real,43341.5562463889,4.06,2000,8/29/2018 3:00:03 PM,4.03,2000,43341.6250347222,43341.6250347222,4.06,-,2000,4.03,-,2000,60,43341.6250347222,-,-,0,-,43341.6250438773,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:00:03 PM,-,-,-,8/29/2018 3:00:03 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.035,4.03999833361106,Tight,43341.6039401505,4.03,real,43341.6039401505,4.04,real,43341.5562463889,4.06,3000,8/29/2018 2:29:40 PM,4.03,3000,43341.6039401505,43341.6039401505,4.06,-,3000,4.03,-,3000,60,43341.6039401505,-,-,0,-,43341.6043571644,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:29:40 PM,-,-,-,8/29/2018 2:29:40 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.0375,4.03999666722213,Wide,43341.5875694444,4.02,real,43341.6026590046,4.04,real,43341.5562463889,4.06,3000,8/29/2018 2:27:49 PM,4.02,3000,43341.6026590046,43341.6026590046,4.06,-,3000,4.02,-,3000,60,43341.6026590046,-,-,0,-,43341.6030760764,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:27:49 PM,-,-,-,8/29/2018 2:27:49 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.0375,4.03999500124969,Wide,43341.5875694444,4.02,real,43341.5984837963,4.04,real,43341.5562463889,4.06,2000,8/29/2018 2:21:49 PM,4.02,2000,43341.5984837963,43341.5984837963,4.06,-,2000,4.02,-,2000,60,43341.5984837963,-,-,0,-,43341.5984867361,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:21:49 PM,-,-,-,8/29/2018 2:21:49 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.0375,4.03999800019998,Wide,43341.5875694444,4.02,real,43341.5981719213,4.04,real,43341.5562463889,4.20000710658641,50000000,8/29/2018 2:08:12 PM,4.02,3000,43341.5981719213,43341.5981719213,-,-,0.1,4.02,-,3000,60,43341.5981719213,-,-,0,-,43341.5985886574,AskOnly,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:21:22 PM,-,-,-,8/29/2018 2:21:22 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.0375,4.03999800019998,Wide,43341.5875694444,4.02,indic/old,43341.5562471181,4.04,real,43341.5562463889,4.20000710658641,50000000,8/29/2018 2:08:12 PM,3.90010015744268,30000000,43341.5890277778,43341.5890277778,4.20000710658641,96.1277,50000000,3.90010015744268,97.3128,30000000,60,43341.5890277778,-,-,0,-,43341.5893791667,TwoSide,cfets,-,PRICE,160207.IB_PKBond,8/30/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/29/2018 2:08:12 PM,-,-,-,8/29/2018 2:08:12 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.0375,4.03999800019998,Wide,43341.5875694444,4.02,indic/old,43341.5562471181,4.04,real,43341.5562463889,4.06,2000,8/29/2018 2:06:06 PM,4,5000,43341.5875694444,43341.5875694444,4.06,-,2000,4,-,5000,60,43341.5875694444,-,-,0,-,43341.5875763426,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:06:06 PM,-,-,-,8/29/2018 2:06:06 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.03875,4.03999800019998,estimated,43341.5562463889,4.02,indic/old,43341.5562471181,4.04,real,43341.5562463889,4.04,5000,8/29/2018 1:20:59 PM,4.02,5000,43341.5562471181,43341.5817570255,-,-,0.1,-,-,0.1,60,43341.5817570255,-,-,0,-,43341.5817566782,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:57:43 PM,-,-,-,8/29/2018 1:57:43 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.03875,4.03999800019998,estimated,43341.5562463889,4.02,indic/old,43341.5562471181,4.04,real,43341.5562463889,4.04,5000,8/29/2018 1:20:59 PM,4.02,5000,43341.5562471181,43341.5562608565,-,-,0.1,-,-,0.1,60,43341.5562608565,-,-,0,-,43341.5566780556,Quote withdrawn,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:21:00 PM,-,-,-,8/29/2018 1:21:00 PM,-,-,-,-
160207.IB,4.04,indic/old,43341.5562463889,4.03875,4.03999800019998,estimated,43341.5562463889,4.02,real,43341.5562471181,4.04,real,43341.5562463889,4.04,5000,8/29/2018 1:20:59 PM,4.02,5000,43341.5562471181,43341.5562471181,-,-,0.1,4.02,-,5000,60,43341.5562471181,-,-,0,-,43341.5566527315,AskOnly,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:20:59 PM,-,-,-,8/29/2018 1:20:59 PM,-,-,-,-
160207.IB,4.04,indic/guess,43341.5562463889,4.03875,4.03999800019998,estimated,43341.5562463889,4.02,real,43341.5562463889,4.04,real,43341.5562463889,4.04,5000,8/29/2018 1:20:59 PM,4.02,5000,43341.5562463889,43341.5562463889,4.04,-,0,4.02,-,0,60,-,4.04,-,0,43341.5562463889,43341.5566520139,Trade,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:20:59 PM,-,-,-,8/29/2018 1:20:59 PM,-,-,-,-
160207.IB,4.04,real,43341.5562463889,4.0375,4.03,Wide,43341.4788783796,4.02,real,43341.5562463889,4.04,real,43341.4478194097,4.04,5000,8/29/2018 1:20:59 PM,4.02,5000,43341.5562463889,43341.5562463889,4.04,-,5000,4.02,-,5000,60,43341.5562463889,-,-,0,-,43341.5566520139,TwoSide,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 1:20:59 PM,-,-,-,8/29/2018 1:20:59 PM,-,-,-,-
