Date,FR001,FR007,FR014,FDR001,FDR007,FDR014,Shibor_O/N,Shibor_1W,Shibor_1M,Shibor_3M,Shibor_6M,Shibor_9M,Shibor_1Y
43343,2.34,2.66,2.7,2.32,2.64,2.65,2.309,2.633,2.72,2.894,3.207,3.415,3.503
43342,2.3,2.7,2.7,2.28,2.62,2.5,2.277,2.64,2.727,2.894,3.209,3.411,3.506
43341,2.4,2.7,2.8,2.39,2.64,2.6,2.3895,2.646,2.742,2.897,3.207,3.411,3.509
43340,2.43,2.66,2.9,2.42,2.63,2.64,2.4255,2.647,2.75,2.899,3.195,3.41,3.514
43339,2.45,2.65,2.8,2.44,2.65,2.65,2.44,2.642,2.751,2.895,3.172,3.411,3.512
43336,2.4,2.5,2.8,2.39,2.59,2.71,2.392,2.612,2.738,2.889,3.156,3.408,3.511
43335,2.46,2.62,2.95,2.45,2.64,2.8,2.454,2.649,2.731,2.887,3.128,3.405,3.512
43334,2.55,2.7,3,2.53,2.65,2.93,2.538,2.662,2.701,2.878,3.076,3.352,3.491
43333,2.64,2.8,3,2.63,2.65,2.98,2.636,2.681,2.694,2.856,3.053,3.325,3.446
43332,2.64,2.7,3,2.62,2.66,2.92,2.625,2.674,2.676,2.83,2.997,3.276,3.406
43329,2.59,2.65,2.61,2.57,2.65,2.6,2.58,2.65,2.653,2.817,2.971,3.219,3.364
43328,2.51,2.6,2.55,2.5,2.6,2.47,2.511,2.637,2.639,2.813,2.946,3.184,3.329
43327,2.35,2.6,2.5,2.34,2.59,2.45,2.345,2.612,2.631,2.807,2.93,3.155,3.285
43326,2.33,2.59,2.45,2.33,2.62,2.4,2.328,2.589,2.613,2.799,2.925,3.133,3.265
43325,2.12,2.4,2.3,2.11,2.47,2.2,2.113,2.491,2.603,2.791,2.915,3.119,3.235
43322,1.83,2.29,2.3,1.82,2.34,2.13,1.826,2.426,2.616,2.801,2.925,3.131,3.244
43321,1.63,2.3,2.3,1.63,2.4,2.1,1.622,2.45,2.643,2.816,2.954,3.152,3.256
