inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.3973522801,43341.3973522801,-,-,0.1,3.8,-,1000,60,43341.3973522801,-,-,0,-,43341.3973637384,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:32:11 AM,-,-,-,8/29/2018 9:32:11 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.3966325694,43341.3966325694,-,-,0.1,3.8,-,1000,60,43341.3966325694,-,-,0,-,43341.3966562732,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:31:09 AM,-,-,-,8/29/2018 9:31:09 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,2000,43341.3966325579,43341.3966325579,-,-,0.1,3.8,-,2000,60,43341.3966325579,-,-,0,-,43341.3966557986,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:31:09 AM,-,-,-,8/29/2018 9:31:09 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.3965298148,43341.3965298148,-,-,0.1,3.8,-,1000,60,43341.3965298148,-,-,0,-,43341.3965527662,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:31:00 AM,-,-,-,8/29/2018 9:31:00 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.3964938194,43341.3964938194,-,-,0.1,3.8,-,1000,60,43341.3964938194,-,-,0,-,43341.3969218171,AskOnly,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:30:57 AM,-,-,-,8/29/2018 9:30:57 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.396400463,43341.396400463,-,-,0.1,3.8,-,1000,60,43341.396400463,-,-,0,-,43341.3964071296,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:30:49 AM,-,-,-,8/29/2018 9:30:49 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43341.3963995833,43341.3963995833,-,-,0.1,3.8,-,1000,60,43341.3963995833,-,-,0,-,43341.3964109722,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 9:30:48 AM,-,-,-,8/29/2018 9:30:48 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.384263125,43341.1678274074,-,-,0.1,-,-,0.1,60,43341.1678274074,-,-,0,-,43341.3146648843,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 4:01:40 AM,-,-,-,8/29/2018 4:01:40 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.384263125,43340.384263125,-,-,0.1,-,-,0.1,60,43340.384263125,-,-,0,-,43340.7919169676,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:13:20 AM,-,-,-,8/28/2018 9:13:20 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.384263125,43340.384263125,-,-,0.1,3.8,-,1000,60,43340.384263125,-,-,0,-,43340.3842757292,AskOnly,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:13:20 AM,-,-,-,8/28/2018 9:13:20 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3789521528,43340.3789521528,-,-,0.1,-,-,0.1,60,43340.3789521528,-,-,0,-,43340.7917760417,Quote withdrawn,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:41 AM,-,-,-,8/28/2018 9:05:41 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3789521528,43340.3789521528,-,-,0.1,3.8,-,1000,60,43340.3789521528,-,-,0,-,43340.3790684028,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:41 AM,-,-,-,8/28/2018 9:05:41 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,2000,43340.3789521412,43340.3789521412,-,-,0.1,3.8,-,2000,60,43340.3789521412,-,-,0,-,43340.3790683681,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:41 AM,-,-,-,8/28/2018 9:05:41 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3789138542,43340.3789138542,-,-,0.1,3.8,-,1000,60,43340.3789138542,-,-,0,-,43340.3790587731,AskOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:38 AM,-,-,-,8/28/2018 9:05:38 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3786576736,43340.3786576736,-,-,0.1,-,-,0.1,60,43340.3786576736,-,-,0,-,43340.7918034259,Quote withdrawn,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:16 AM,-,-,-,8/28/2018 9:05:16 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3786576736,43340.3786576736,-,-,0.1,3.8,-,1000,60,43340.3786576736,-,-,0,-,43340.3786812616,AskOnly,CFIC-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:16 AM,-,-,-,8/28/2018 9:05:16 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3785416667,43340.3785416667,-,-,0.1,-,-,0.1,60,43340.3785416667,-,-,0,-,43340.7916717014,Quote withdrawn,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:06 AM,-,-,-,8/28/2018 9:05:06 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3785416667,43340.3785416667,-,-,0.1,3.8,-,1000,60,43340.3785416667,-,-,0,-,43340.3785467593,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:06 AM,-,-,-,8/28/2018 9:05:06 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3785354398,43340.3785354398,-,-,0.1,-,-,0.1,60,43340.3785354398,-,-,0,-,43340.7919153472,Quote withdrawn,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:05 AM,-,-,-,8/28/2018 9:05:05 AM,-,-,-,-
1702001.IB,4.12,indic/old,43283.6548177083,4.1175,3.895,estimated,43283.6548177083,3.82,indic/old,43333.3672453704,-,invalid,-,4.3,1000,7/11/2018 10:00:42 AM,3.8,1000,43340.3785354398,43340.3785354398,-,-,0.1,3.8,-,1000,60,43340.3785354398,-,-,0,-,43340.3789525926,AskOnly,CBBJ-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/28/2018 9:05:05 AM,-,-,-,8/28/2018 9:05:05 AM,-,-,-,-
